NUM_ART;month_of_year;year_of_calendar;QTE_VTE
64133804;5;2018;9.0
64133804;5;2019;14.0
64133804;6;2017;9.0
64133804;6;2018;14.0
64133804;6;2019;21.0
64133804;7;2016;8.0
64133804;7;2017;6.0
64133804;7;2018;15.0
64133804;7;2019;13.0
64133804;8;2016;3.0
64133804;8;2017;13.0
64133804;8;2018;8.0
64133804;8;2019;17.0
64133804;9;2016;5.0
64133804;9;2017;10.0
64133804;9;2018;12.0
64133804;9;2019;17.0
64133804;10;2016;4.0
64133804;10;2017;1.0
64133804;10;2018;15.0
64133804;10;2019;15.0
64133804;11;2016;10.0
64133804;11;2017;11.0
64133804;11;2018;12.0
64133804;11;2019;17.0
64133804;12;2016;8.0
64133804;12;2017;10.0
64133804;12;2018;10.0
64133804;12;2019;10.0
64937481;1;2017;16.0
64937481;1;2018;43.0
64937481;1;2019;34.0
64937481;1;2020;8.0
64937481;2;2017;20.0
64937481;2;2018;26.0
64937481;2;2019;50.0
64937481;3;2017;20.0
64937481;3;2018;52.0
64937481;3;2019;53.0
64937481;4;2017;13.0
64937481;4;2018;35.0
64937481;4;2019;59.0
64937481;5;2017;33.0
64937481;5;2018;38.0
64937481;5;2019;50.0
64937481;6;2017;38.0
64937481;6;2018;31.0
64937481;6;2019;41.0
64937481;7;2016;8.0
64937481;7;2017;45.0
64937481;7;2018;37.0
64937481;7;2019;38.0
64937481;8;2016;12.0
64937481;8;2017;53.0
64937481;8;2018;32.0
64937481;8;2019;29.0
64937481;9;2016;9.0
64937481;9;2017;29.0
64937481;9;2018;15.0
64937481;9;2019;16.0
64937481;10;2016;19.0
64937481;10;2017;30.0
64937481;10;2018;22.0
64937481;10;2019;21.0
64937481;11;2016;19.0
64937481;11;2017;34.0
64937481;11;2018;13.0
64937481;11;2019;25.0
64937481;12;2016;18.0
64937481;12;2017;41.0
64937481;12;2018;23.0
64937481;12;2019;94.0
65069683;1;2017;1.0
65069683;2;2017;1.0
65069683;7;2016;3.0
65069683;8;2016;1.0
65069683;9;2016;2.0
65699032;1;2017;52.0
65699032;1;2018;5.0
65699032;2;2017;37.0
65699032;2;2018;2.0
65699032;3;2017;11.0
65699032;4;2017;10.0
65699032;5;2017;12.0
65699032;6;2017;18.0
65699032;7;2016;53.0
65699032;7;2017;16.0
65699032;8;2016;46.0
65699032;8;2017;6.0
65699032;9;2016;24.0
65699032;9;2017;6.0
65699032;9;2018;1.0
65699032;10;2016;21.0
65699032;10;2017;2.0
65699032;11;2016;17.0
65699032;11;2017;2.0
65699032;11;2019;0.0
65699032;12;2016;30.0
65699032;12;2017;2.0
65699032;12;2019;1.0
65742852;1;2017;307.0
65742852;1;2018;310.0
65742852;1;2019;330.0
65742852;1;2020;137.0
65742852;2;2017;314.0
65742852;2;2018;314.0
65742852;2;2019;438.0
65742852;3;2017;271.0
65742852;3;2018;338.0
65742852;3;2019;571.0
65742852;4;2017;287.0
65742852;4;2018;412.0
65742852;4;2019;549.0
65742852;5;2017;409.0
65742852;5;2018;520.0
65742852;5;2019;670.0
65742852;6;2017;426.0
65742852;6;2018;599.0
65742852;6;2019;627.0
65742852;7;2016;464.0
65742852;7;2017;300.0
65742852;7;2018;439.0
65742852;7;2019;401.0
65742852;8;2016;289.0
65742852;8;2017;326.0
65742852;8;2018;471.0
65742852;8;2019;619.0
65742852;9;2016;256.0
65742852;9;2017;367.0
65742852;9;2018;497.0
65742852;9;2019;540.0
65742852;10;2016;615.0
65742852;10;2017;446.0
65742852;10;2018;360.0
65742852;10;2019;678.0
65742852;11;2016;511.0
65742852;11;2017;374.0
65742852;11;2018;302.0
65742852;11;2019;604.0
65742852;12;2016;365.0
65742852;12;2017;220.0
65742852;12;2018;341.0
65742852;12;2019;665.0
65752911;1;2017;71.0
65752911;1;2018;195.0
65752911;1;2019;272.0
65752911;1;2020;46.0
65752911;2;2017;70.0
65752911;2;2018;167.0
65752911;2;2019;293.0
65752911;3;2017;81.0
65752911;3;2018;148.0
65752911;3;2019;273.0
65752911;4;2017;66.0
65752911;4;2018;113.0
65752911;4;2019;213.0
65752911;5;2017;178.0
65752911;5;2018;124.0
65752911;5;2019;193.0
65752911;6;2017;181.0
65752911;6;2018;110.0
65752911;6;2019;252.0
65752911;7;2016;98.0
65752911;7;2017;217.0
65752911;7;2018;108.0
65752911;7;2019;298.0
65752911;8;2016;93.0
65752911;8;2017;153.0
65752911;8;2018;118.0
65752911;8;2019;278.0
65752911;9;2016;129.0
65752911;9;2017;129.0
65752911;9;2018;108.0
65752911;9;2019;249.0
65752911;10;2016;129.0
65752911;10;2017;135.0
65752911;10;2018;117.0
65752911;10;2019;302.0
65752911;11;2016;130.0
65752911;11;2017;174.0
65752911;11;2018;185.0
65752911;11;2019;306.0
65752911;12;2016;128.0
65752911;12;2017;221.0
65752911;12;2018;321.0
65752911;12;2019;382.0
65774121;1;2017;16.0
65774121;1;2018;23.0
65774121;1;2019;29.0
65774121;1;2020;7.0
65774121;2;2017;13.0
65774121;2;2018;17.0
65774121;2;2019;33.0
65774121;3;2017;14.0
65774121;3;2018;19.0
65774121;3;2019;15.0
65774121;4;2017;12.0
65774121;4;2018;19.0
65774121;4;2019;31.0
65774121;5;2017;17.0
65774121;5;2018;18.0
65774121;5;2019;17.0
65774121;6;2017;13.0
65774121;6;2018;16.0
65774121;6;2019;23.0
65774121;7;2016;10.0
65774121;7;2017;14.0
65774121;7;2018;20.0
65774121;7;2019;29.0
65774121;8;2016;9.0
65774121;8;2017;16.0
65774121;8;2018;20.0
65774121;8;2019;30.0
65774121;9;2016;4.0
65774121;9;2017;10.0
65774121;9;2018;17.0
65774121;9;2019;30.0
65774121;10;2016;12.0
65774121;10;2017;13.0
65774121;10;2018;30.0
65774121;10;2019;39.0
65774121;11;2016;12.0
65774121;11;2017;23.0
65774121;11;2018;24.0
65774121;11;2019;46.0
65774121;12;2016;7.0
65774121;12;2017;10.0
65774121;12;2018;27.0
65774121;12;2019;34.0
65998023;1;2017;2.0
65998023;1;2018;8.0
65998023;1;2019;21.0
65998023;1;2020;3.0
65998023;2;2017;2.0
65998023;2;2018;6.0
65998023;2;2019;56.0
65998023;3;2017;2.0
65998023;3;2018;21.0
65998023;3;2019;41.0
65998023;4;2017;2.0
65998023;4;2018;10.0
65998023;4;2019;20.0
65998023;5;2017;3.0
65998023;5;2018;8.0
65998023;5;2019;6.0
65998023;6;2017;8.0
65998023;6;2018;11.0
65998023;6;2019;8.0
65998023;7;2016;2.0
65998023;7;2017;5.0
65998023;7;2018;8.0
65998023;7;2019;9.0
65998023;8;2016;2.0
65998023;8;2017;6.0
65998023;8;2018;11.0
65998023;8;2019;15.0
