NUM_ART;week_of_year;year_of_calendar;QTE_VTE
61117735;40;2018;3.0
61117735;40;2019;2.0
61117735;41;2018;0.0
61117735;42;2017;1.0
61117735;42;2018;1.0
61117735;43;2018;3.0
61117735;43;2019;2.0
61117735;44;2016;1.0
61117735;44;2017;2.0
61117735;44;2019;1.0
61117735;45;2016;1.0
61117735;46;2018;2.0
61117735;46;2019;4.0
61117735;47;2017;3.0
61117735;47;2018;2.0
61117735;47;2019;1.0
61117735;48;2016;2.0
61117735;48;2017;-1.0
61117735;48;2018;2.0
61117735;48;2019;2.0
61117735;49;2017;1.0
61117735;49;2019;1.0
61117735;50;2017;2.0
61117735;50;2018;3.0
61117735;50;2019;1.0
61117735;51;2016;1.0
61117735;51;2017;1.0
62182680;0;2018;1.0
62182680;0;2019;1.0
62182680;1;2018;3.0
62182680;1;2019;5.0
62182680;2;2017;0.0
62182680;2;2018;5.0
62182680;2;2019;4.0
62182680;3;2017;2.0
62182680;3;2018;2.0
62182680;3;2019;7.0
62182680;4;2017;1.0
62182680;4;2018;3.0
62182680;4;2019;3.0
62182680;5;2017;2.0
62182680;5;2018;1.0
62182680;5;2019;4.0
62182680;6;2017;1.0
62182680;6;2018;3.0
62182680;6;2019;4.0
62182680;7;2017;1.0
62182680;7;2018;1.0
62182680;7;2019;2.0
62182680;8;2017;1.0
62182680;8;2018;3.0
62182680;8;2019;1.0
62182680;9;2017;3.0
62182680;9;2018;3.0
62182680;9;2019;3.0
62182680;10;2017;4.0
62182680;10;2018;2.0
62182680;10;2019;2.0
62182680;11;2017;1.0
62182680;11;2018;1.0
62182680;11;2019;2.0
62182680;12;2017;1.0
62182680;12;2019;3.0
62182680;13;2017;2.0
62182680;13;2018;2.0
62182680;13;2019;0.0
62182680;14;2018;3.0
62182680;14;2019;5.0
62182680;15;2017;1.0
62182680;15;2018;0.0
62182680;15;2019;5.0
62182680;16;2017;1.0
62182680;16;2018;2.0
62182680;16;2019;6.0
62182680;17;2018;4.0
62182680;17;2019;1.0
62182680;18;2017;2.0
62182680;18;2018;6.0
62182680;18;2019;3.0
62182680;19;2017;1.0
62182680;19;2018;3.0
62182680;19;2019;1.0
62182680;20;2017;3.0
62182680;20;2019;2.0
62182680;21;2017;3.0
62182680;21;2018;4.0
62182680;21;2019;-1.0
62182680;22;2017;4.0
62182680;22;2018;5.0
62182680;22;2019;1.0
62182680;23;2017;-1.0
62182680;23;2019;3.0
62182680;24;2018;1.0
62182680;24;2019;0.0
62182680;25;2017;1.0
62182680;25;2018;0.0
62182680;25;2019;3.0
62182680;26;2017;1.0
62182680;26;2018;2.0
62182680;26;2019;7.0
62182680;27;2017;1.0
62182680;27;2018;4.0
62182680;27;2019;2.0
62182680;28;2016;0.0
62182680;28;2017;4.0
62182680;28;2019;2.0
62182680;29;2016;2.0
62182680;29;2017;1.0
62182680;29;2018;4.0
62182680;29;2019;1.0
62182680;30;2017;1.0
62182680;30;2019;0.0
62182680;31;2016;1.0
62182680;31;2017;2.0
62182680;31;2018;3.0
62182680;31;2019;2.0
62182680;32;2016;3.0
62182680;32;2017;2.0
62182680;32;2018;2.0
62182680;32;2019;2.0
62182680;33;2016;0.0
62182680;33;2017;2.0
62182680;33;2018;6.0
62182680;34;2016;1.0
62182680;34;2017;3.0
62182680;34;2018;1.0
62182680;34;2019;3.0
62182680;35;2018;1.0
62182680;35;2019;5.0
62182680;36;2016;1.0
62182680;36;2017;2.0
62182680;36;2018;2.0
62182680;36;2019;4.0
62182680;37;2016;1.0
62182680;37;2017;1.0
62182680;37;2018;1.0
62182680;37;2019;1.0
62182680;38;2017;1.0
62182680;38;2018;2.0
62182680;38;2019;5.0
62182680;39;2017;2.0
62182680;39;2018;2.0
62182680;39;2019;3.0
62182680;40;2016;1.0
62182680;40;2017;5.0
62182680;40;2018;2.0
62182680;40;2019;1.0
62182680;41;2017;1.0
62182680;41;2019;3.0
62182680;42;2016;2.0
62182680;42;2018;4.0
62182680;42;2019;5.0
62182680;43;2016;1.0
62182680;43;2017;3.0
62182680;43;2018;5.0
62182680;43;2019;2.0
62182680;44;2016;2.0
62182680;44;2017;2.0
62182680;44;2018;1.0
62182680;44;2019;7.0
62182680;45;2016;3.0
62182680;45;2017;1.0
62182680;45;2018;4.0
62182680;45;2019;0.0
62182680;46;2017;2.0
62182680;46;2018;5.0
62182680;46;2019;3.0
62182680;47;2016;2.0
62182680;47;2017;2.0
62182680;47;2018;0.0
62182680;47;2019;3.0
62182680;48;2016;1.0
62182680;48;2017;3.0
62182680;48;2018;5.0
62182680;48;2019;1.0
62182680;49;2016;2.0
62182680;49;2017;3.0
62182680;49;2018;6.0
62182680;49;2019;5.0
62182680;50;2016;3.0
62182680;50;2017;3.0
62182680;50;2018;4.0
62182680;50;2019;4.0
62182680;51;2016;1.0
62182680;51;2017;3.0
62182680;51;2018;3.0
62182680;51;2019;3.0
62182680;52;2016;1.0
62182680;52;2017;3.0
62182680;52;2019;3.0
62183023;0;2018;20.0
62183023;0;2019;8.0
62183023;0;2020;11.0
62183023;1;2017;9.0
62183023;1;2018;21.0
62183023;1;2019;26.0
62183023;1;2020;2.0
62183023;2;2017;17.0
62183023;2;2018;22.0
62183023;2;2019;14.0
62183023;3;2017;15.0
